Process,TechDescription,Sector,Subsector,Subsubsector
TPPUBUSODS-N,Transport Passenger Bus Oil Diesel-N              ,Transport,PassPub,BusOil
TPPUGATELC-N,Transport Passenger Gautrain Electricity-N        ,Transport,PassPub,PassengerRail
TPPUMBTBGS-N,Transport Passenger Minibus Oil Blended Gasoline-E,Transport,PassPub,MinibusFlex
TPPUMBTGAS-N,Transport Passenger Minibus Gas-N                 ,Transport,PassPub,MinibusGas
TPPUMBTHGNF-N,Transport Passenger Minibus Hydrogen Fuel Cell-N  ,Transport,PassPub,MinibusHydrogen
TPPUMBTODS-E,Transport Passenger Minibus Oil Diesel-E          ,Transport,PassPub,MinibusOil
TPPUMBTODS-N,Transport Passenger Minibus Oil Diesel-N          ,Transport,PassPub,MinibusOil
TPPUMBTODSH-N,Transport Passenger Minibus Oil Diesel Hybrid-N   ,Transport,PassPub,MinibusHybrid
TPPUMBTOGS-E,Transport Passenger Minibus Oil Gasoline-E        ,Transport,PassPub,MinibusOil
TPPUMBTOGS-N,Transport Passenger Minibus Oil Gasoline-N        ,Transport,PassPub,MinibusOil
TPPUMERELC-E,Transport Passenger Metro Rail Electricity-E      ,Transport,PassPub,PassengerRail
TPPUMERELC-N,Transport Passenger Metro Rail Electricity-N      ,Transport,PassPub,PassengerRail
TSHFOOHF-E,Transport Other - HFO-E                           ,Transport,TraOther,TraOther
TSHFOOHF-N,Transport Other - HFO Oil HFO-N                   ,Transport,TraOther,TraOther
UCOGCLEHGN,Production Plant Hydrogen - Large Coal Gasificatio,Refineries,Hydrogen,Hydrogen
UCTLCLEIN-E,Refinery CTL Existing                             ,Refineries,CTL,CTL
UCTLCLEIN-N-A,Refinery CTL New - Waterberg                      ,Refineries,CTL,CTL
UCTLCLEIN-N,Refinery CTL New                                  ,Refineries,CTL,CTL
UELEHGN,Production Plant Hydrogen - Water Electrolysis    ,Refineries,Hydrogen,Hydrogen
UGASGIB-N,Pipeline Gas Indigenous Ibhubezi                  ,,,Other
UGASGIC-N,Pipeline Coastal Gas                              ,,,Other
UGASGIH-N,Pipeline Gas Indigenous Shale                     ,,,Other
UGASGIHE-N,Pipeline Gas Indigenous Shale for export          ,,,Other
UGASGRM-N,Pipeline Gas Northern Mozambique                  ,Supply,Imports,Imports
UGASGRS-N,Pipeline Gas Southern Mozambique                  ,Supply,Imports,Imports
UGTLGASIN-N,Refinery GTL New - Inland                         ,Refineries,GTL,GTL
UGTLGICCO-E,Refinery GTL Existing                             ,Refineries,GTL,GTL
UGTLGICCO-N,Refinery GTL New - Coastal                        ,Refineries,GTL,GTL
UHETCLE-E,Refinery CTL Boiler Existing                      ,Refineries,CTL,CTL
UHETCLE-N,Refinery CTL Boiler New                           ,Refineries,CTL,CTL
ULGTGRL-N,LNG Terminal                                      ,LNG,LNGT,LNGFSRU
ULGTGRLFSRU-N,FSRU Terminal                                     ,LNG,FSRU,LNGTerm
UREFOCRCO-E,Refinery Crude Oil Coastal Existing               ,Refineries,CrudeRef,CrudeRef
UREFOCRCO-N,Refinery Crude Oil New                            ,Refineries,CrudeRef,CrudeRef
UREFOCRIN-E,Refinery Crude Oil Inland Existing                ,Refineries,CrudeRef,CrudeRef
USMRGASHGN,Production Plant Hydrogen - Large SMR - Inland    ,Refineries,Hydrogen,Hydrogen
USMRGICHGN,Production Plant Hydrogen - Large SMR - Coastal   ,Refineries,Hydrogen,Hydrogen
UTRNGIMGAS,Conversion Methane Rich Gas Natural Gas for use in,,,Other
UXCWCME,Coal Washing - export grade coal                  ,,,Other
UXCWCOA,Coal Washing - metallurgical coal                 ,,,Other
UXLE-AB,Waterberg to central basin railway line option 1 (,,,Other
UXLE-BR,Central basin to RBCT railway line                ,,,Other
UXLE2-AB,Waterberg to central basin railway line option 2 (,,,Other
XAGRCOA,Agriculatural Coal                                ,,,Other
XAGRELC,Agriculatural Electricity                         ,,,Other
XAGRODS,Agriculatural Oil Diesel                          ,,,Other
XAGROGS,Agriculatural Oil Gasoline                        ,,,Other
XAGROHF,Agriculatural Oil HFO                             ,,,Other
XAGROKE,Agriculatural Oil Paraffin                        ,,,Other
XAGROLP,Agriculatural Oil LPG                             ,,,Other
XCOMCOA,Commercial Coal                                   ,,,Other
XCOMELC,Commercial Electricity                            ,,,Other
XCOMGAS,Commercial Gas South Africa                       ,,,Other
XCOMODS,Commercial Oil Diesel                             ,,,Other
XCOMOGS,Commercial Oil Gasoline                           ,,,Other
XCOMOHF,Commercial Oil HFO                                ,,,Other
XCOMOKE,Commercial Oil Kerosene                           ,,,Other
XCOMOLP,Commercial Oil LPG                                ,,,Other
XICPELC,Industrial CP-Electricity                         ,,,Other
XICPGAS,Industrial CP-Gas                                 ,,,Other
XIFAELC,Industrial FA-Electricity                         ,,,Other
XIFAGAS,Industrial FA-Gas                                 ,,,Other
XIFBELC,Industrial FB-Electricity                         ,,,Other
XIFBGAS,Industrial FB-Gas                                 ,,,Other
XIISBIO,Industry - Iron and Steel - Biomass (dummy)       ,,,Other
XIISCKC,Industry - Iron and Steel - Coking Coal (dummy)   ,,,Other
XIISCOA,Industry - Iron and Steel - Coal (dummy)          ,,,Other
XIISELC,Industrial IS-Electricity                         ,,,Other
XIISGAS,Industrial IS-Gas                                 ,,,Other
XIISOIL,Industry - Iron and Steel - Oil                   ,,,Other
XIISOLP,Industry - Iron and Steel - Oil LPG               ,,,Other
XIISSSC,Industry - Iron and Steel - Steel Scrap           ,,,Other
XIISWAS,Industry - Iron and Steel - Waste (dummy)         ,,,Other
XIMIELC,Industrial MI-Electricity                         ,,,Other
XIMIGAS,Industrial MI-Gas                                 ,,,Other
XINDBIB,Industry Biomass bagasse                          ,,,Other
XINDBIW,Industry Biomass Wood                             ,,,Other
XINDCOA,Industry Coal                                     ,,,Other
XINDCOK,Industry Coal Coking                              ,,,Other
XINDELC,Industry Electricity                              ,,,Other
XINDELP,Electricity supply                                ,,,Other
XINDGAS,Industry Gas South Africa                         ,,,Other
XINDODS,Industry Oil Diesel                               ,,,Other
XINDOGS,Industry Oil Gasoline                             ,,,Other
XINDOHF,Industry Oil HFO                                  ,,,Other
XINDOLP,Industry Oil LPG                                  ,,,Other
XINDWAS,Industry Waste                                    ,,,Other
XINFELC,Industrial NF-Electricity                         ,,,Other
XINFGAS,Industrial NF-Gas                                 ,,,Other
XINMBIO,Industry - Non-metallic minerals - Biomass (dummy),,,Other
XINMCOA,Industry - Non-metallic minerals - Coal (dummy)   ,,,Other
XINMELC,Industrial NM-Electricity                         ,,,Other
XINMGAS,Industrial NM-Gas                                 ,,,Other
XINMOIL,Industry - Non-metallic minerals - Oil (dummy)    ,,,Other
XIOTELC,Industrial OT-Electricity                         ,,,Other
XIOTGAS,Industrial OT-Gas                                 ,,,Other
XIPPBIB,Industry - Pulp and Paper - Biomass Bagasse (dummy,,,Other
XIPPCOA,Industry - Pulp and paper - Coal (dummy)          ,,,Other
XIPPELC,Industrial PP-Electricity                         ,,,Other
XIPPGAS,Industrial PP-Gas                                 ,,,Other
XIPPODS,Industry - Pulp and paper - Oil diesel            ,,,Other
XIPPOGS,Industry - Pulp and paper - Oil Gasoline          ,,,Other
XIPPOHF,Industry - Pulp and paper - Oil Heavy fuel        ,,,Other
XIPPOLP,Industry - Pulp and paper - Oil LPG               ,,,Other
XIPPRECP,Generic supply - Industry - Recovered Paper       ,,,Other
XPWRBIB,Power Sector Biomass bagasse                      ,,,Other
XPWRBIG,Power Sector Biogas                               ,,,Other
XPWRBIO,Power Sector Biomass Other                        ,,,Other
XPWRBIW,Power Sector Biomass Wood                         ,,,Other
XPWRCLD,Power Sector Coal Discard                         ,,,Other
XPWRCLE-A,Power Sector Coal low grade - Waterberg           ,,,Other
XPWRCLE,Power Sector Coal low grade                       ,,,Other
XPWRCLEC-A,Power Sector Coal low grade - existing contracts -,,,Other
XPWRCLEC,Power Sector Coal low grade - existing contracts  ,,,Other
XPWRCRB,Power Sector Coal for plants in Botswana          ,,,Other
XPWRGAS,Power Sector Gas South Africa                     ,,,Other
XPWRGIC,Power Sector Coastal Gas                          ,,,Other
XPWRGIH,Power Sector Gas Indigenous Shale                 ,,,Other
XPWRGRM,Power Sector Gas Northern Mozambique              ,,,Other
XPWRGRN,Power Sector Gas Namibia                          ,,,Other
XPWRGRS,Power Sector Gas Southern Mozambique              ,,,Other
XPWRHYD,Power Sector Hydro                                ,,,Other
XPWRNUC,Power Sector Nuclear                              ,,,Other
XPWRODS,Power Sector Oil Diesel                           ,,,Other
XPWRSOL,Power Sector Solar                                ,,,Other
XPWRWND,Power Sector Wind                                 ,,,Other
XRESBIW,Residential Biomass Wood                          ,,,Other
XRESCOA,Residential Coal                                  ,,,Other
XRESELC,Residential Electricity                           ,,,Other
XRESGAS,Residential Gas South Africa                      ,,,Other
XRESOKE,Residential Oil Kerosene                          ,,,Other
XRESOLP,Residential Oil LPG                               ,,,Other
XTRABGS,Distribution of blended transport gasoline        ,,,Other
XTRAELC,Transport Electricity                             ,,,Other
XTRAEVF,Transport freight EV supply: grid and distributed ,,,Other
XTRAEVP,Transport private EV supply: grid and distributed ,,,Other
XTRAGAS,Transport Gas South Africa                        ,,,Other
XTRAHGN,Transport Hydrogen                                ,,,Other
XTRAOAG,Transport Oil Av Gasoline                         ,,,Other
XTRAODS,Transport Oil Diesel                              ,,,Other
XTRAOGS,Transport Oil Gasoline                            ,,,Other
XTRAOHF,Transport Oil HFO                                 ,,,Other
XTRAOKE,Transport Oil Kerosene                            ,,,Other
XUPSBID,Supply Sector Biodiesel                           ,,,Other
XUPSBIE,Supply Sector Bioethanol                          ,,,Other
XUPSCLE-S,Supply Sector Coal low grade - Waterberg          ,,,Other
XUPSCLE,Supply Sector Coal low grade                      ,,,Other
XUPSELC,Supply Sector Electricity                         ,,,Other
XUPSGAS,Supply Sector Gas South Africa                    ,,,Other
XUPSGIC,Supply Sector Coastal Gas                         ,,,Other
XUPSHEE,Supply Sector Heat-Steam Existing                 ,,,Other
XUPSHEN,Supply Sector Heat-Steam New                      ,,,Other
XUPSOCR,Supply Sector Oil Crude                           ,,,Other
XUPSOHF,Supply Sector Oil HFO                             ,,,Other
ZZBKELCC,Backstop for Electricity                          ,,,Other
ZZBKNRG,Backstop for all energy except elc                ,,,Other
